default
タイトルに戻る,Back to Title
やっぱりやめる,Confirm Quit
このモードは翻訳者がテストするためのモードです。まだ翻訳は実装されていません。\nThis mode is for translators to test. No translations have been implemented yet.\n此模式用于翻译测试。 尚未实施任何翻译。,
日本語,
English,
简体中文,
한국어,
言語が日本語に設定されました。,
The language has been set to English.,
To translate; open the text in CSV/Language/English and write the English text next to the comma. Commas are not allowed in the text; so if you want to use commas; please use semicolons.,
语言已设置为简体中文。,
要进行翻译，请在 CSV/Language/SimplifiedChinese 中打开文本，然后在逗号旁边写入翻译后的文本。,
언어가 한국어로 설정되었습니다.,
번역하려면 CSV/언어/한국어에서 텍스트를 열고 쉼표 옆에 영어 텍스트를 입력합니다. 텍스트에는 쉼표가 허용되지 않으므로 쉼표를 사용하려면 세미콜론을 사용하세요.,
難易度を変更することができます。, You can change the difficulty level.
難易度は\nハード（敵のパラメーター3割増加）\nノーマル\nイージー（敵のパラメータ2割減少）\nらくらく（味方のHP+2000Atk+800）\nの3つの中から選択できます。難易度は何度でも変更可能です。,You can choose from three difficulty levels: Hard (30% increase in enemy parameters); Normal; Easy (20% decrease in enemy parameters); Relaxed (HP+2000 and Atk+800 for allies). You can change the difficulty level as many times as you like.
難易度を選択してください(現在の難易度:{難易度名})。,Select a difficulty level (current difficulty: {難易度名}).
ハード,Hard
ノーマル,Normal
イージー,Easy
らくらくモード,Phoenix Mode
難易度をハードに変更しました。,The difficulty level was changed to hard.
ハードでは相手の能力が上がるほか、一部敵カードに効果が追加される場合があります。,In addition to increasing the ability of the opponent; there may be added effects to some enemy cards.
難易度をノーマルに変更しました。,The difficulty level was changed to Normal.
難易度をイージーに変更しました。,The difficulty level was changed to easy.
イージーでは相手の能力が下がるほか、一部敵カードの効果が変更になる場合があります。,In Easy; the opponent's ability is reduced and the effects of some enemy cards may be changed.
難易度をらくらくモードに変更しました。,The difficulty level was changed to easy mode.
らくらくモードでは相手の能力が下がるほか、一部敵カードの効果が変更になる場合があります。,In Relaxed mode; the opponent's ability is reduced and the effects of some enemy cards may be changed.
