default
闘技場へ行く, Arena
酒場へ行く(未実装), Tavern (Not Ready)
学園へ行く(未実装), Academy (Not Ready)
牢屋へ行く, Jail
❤行商人の女の子の家, ❤ Peddler girl's house
メロディに会いに学園へ行く(未実装), Melody's School (Not Ready)
(特殊)地下通路へ行く, Underground Passage (Special)
見回りの兵士, Patrolling Soldier
モルゲン, Morugen
Place/Morugen,
バトル大会について, About the Card Master Tournament
マップ画面ではフィールド上のカードマスターを選びバトルを開始することができます。バトルに勝利することで、賞金や経験値に加え、あなたの指輪にランクポイントがたくわえられます。,On the map screen; you may select a card master on the field and start a battle. By winning the battle; you will accumulate rank points in your ring in addition to prize money and experience.
ランクについて, About Rank
ランクポイントが上限に達すると、ギルドで昇格試験を受けられます。試験をクリアすることでランクが上昇します。Aランクを目指してがんばりましょう！,When you reach the maximum amount of rank points; a promotion exam will become available at the guild. Do your best to achieve rank A!
上部メニューボタンを使用すると、ショップの利用やデッキの編集が行えます。ホームボタンを押すことで宿屋に戻ることができ、セーブは宿屋内で行うことができます。,The top menu buttons will allow you to use the store or edit your deck. The home button can be used to return to the inn; where you can save as well as access other features.
クエスト：Eランク昇格試験が発生しました,Quest: E Rank promotion test has become available.
クエストについて, About Quests
マップ画面では一定の条件を満たすとクエストが発生することがあります。画面上部のメニューから旗のマークを選択するとクエストを受けることができます。,On the map screen; quests may become available when certain conditions are met. You can accept quests by selecting the flag symbol from the menu at the top of the screen.
カードパックがショップに追加されました。,Card packs have been added to the store.
カードマスターが新たに登場するようになりました。, A new cardmaster can be challenged.
宿屋で休んだ翌日、僕はギルドに呼び出されていた。,After taking a rest at the inn; I was summoned to the guild.
お越しいただきありがとうございます、{主人公}さん！昨日は初めてのクエストでのサキュバス討伐、お疲れ様でした！,Thank you for coming; {主人公}! The Guild appreciates your participation in yesterday's Succubus Elimination quest!
昨日はクエストから帰ってきた直後という事もあって、お伝えしていなかったことがあります。,I haven't had the chance to tell you since your completion of the quest; but I have important news for you.
はい。この度ランク昇格に伴い、{主人公}さんは闘技場への入場許可が貰えるようになりました！,It's my pleasure to announce that {主人公} has been officially promoted to Rank D! With this promotion; you now have permission to enter the arena!
D級以上のカードマスターの方々はその多くが闘技場に出入りしています。,Many of the card masters of D Rank and above have participated in the arena.
闘技場ではランクポイントも賞金もかなり多くもらえることになっているので、上手く闘技場で勝っていけば、ランクも上げやすくなりますよ！,The amount of rank points and prize money on the line in the arena is significantly more than that which you could earn in the field. Win there; and you'll have a far easier time increasing your rank!
ですが闘技場に出入りするマスターはみな腕に覚えのある人ばかり。例え同じDランクでも、上のランクのマスターに勝てる人だっています。,However; all the card masters participating in the arena are highly skilled. Even in D Rank; there are some masters who can defeat their higher ranked peers.
一応お聞きしますが、闘技場への入場を希望いたしますか？,Just to be certain; you'd still like to enter the arena; right?
承知しました。きっと{主人公}さんなら戦っていけるでしょう。,Yes; ma'am. I'm sure I can give them a challenge.
ふふ、頼もしい言葉です。{主人公}さんなら本当に戦い抜けるでしょうね。,That's reassuring to hear. I have confidence that you really will be able to do just that.
Dランクになったギルドリングがそのまま参加許可証となるので、今からすぐに闘技場の試合に参加できます。頑張ってくださいね！, Your D Rank guild ring is your participation permit; so you can enter in arena matches whenever you'd like. Good luck!!!
メニューから闘技場に行けるようになりました。,You can now go to the arena from the travel menu.
