default
看守ヤツメ, Jailer Yatsune
看守補助の下級マスター, Subordinate Guard
囚人（男）, Prisoner (Male)
ネクロ, Necro
❤牢屋の中のサキュバス, ❤ Imprisoned Succubus
スリ（女）,Pickpocket (Female)
モルゲン監獄,Morugen Prison
Place/MorugenPrison,
情報収集,Investigate
街へ戻る,Return to Town
おや、無敗のルーキーじゃないか。\n今日は監獄の見学か？,Oh; if it isn't the undefeated rookie? Taking a tour of the cells today?
お前のような強いマスターが巡回すれば、\n犯罪者どもに対していい威圧になるだろう。\nわたしの目の届く範囲であれば、好きに見て回るといい。,Having a strong master like you patrolling the streets would be great for scaring off criminals. As long as you stay within eyesight; look around as you please.
エイライラ先生とお前たちが連れてきたサキュバスだが、\nなかなか口を割りそうにない。,You can find Dr. Eira and the succubus you brought in over there; but it doesn't look like she'll be doing much talking.
軽薄そうに見えて、サキュバスは女王に絶対の忠誠を誓っている。\n尋問で何かを聞き出すのはかなり難しそうだ。,Although she seems like an airhead; that succubus is fiercelt loyal to the Queen. Even with interrogation it'd be pretty difficult to get any info out of her.
そのうえサキュバスたちは痛みを一切感じないように、\n体の感覚を調整できるらしい。快楽以外の感覚を\n一切遮断してしまえるのだそうだ。,I've heard that succubi can even cut off their senses so that they can't feel any pain at all. They're able to become numb to everything except pleasure.
あいつらがモルゲン周辺で何をしていたのか気になるが・・・。\n地道に周囲を調査していくほかはないかもしれんな。,I wonder what those succubi were doing hanging around Morugen... \n We might have no choice but to slowing investigate the surrounding area.
看守や詰所の隊長のような仕事は\nだいたいｃランクぐらいから割り当てられるようになる。,Jobs like prison guard and station commander usually get assigned to C Ranks.
お前もこの大会が終わった後、何かしら打診があるかもしれないな。\n職を得てそれに励むか、あるいは更なる研鑽のため\n身軽な立場のままでいるかは、各人の自由だ。,There might be an offer for you after this festival is over. You're welcome to take up a position and work hard at it; or find a role with fewer responsibilities so that you can focus on your own studies.
Ｂランク以上になり守護者になれば、\n領地をあずかりその土地で様々な特権を得ることもできる。\n大会のうちにどうしていきたいか色々と考えておくといい。,If you get promoted to B Rank or higher and become a guardian; you'll get entrusted with a territory; along with the various privileges that come with the job. It's a good idea to start thinking about what you'll do after the festival's over.
囚人どもに快楽を与えるようなことは、\n刑罰の目的には反している。\nだからわたしが与えるのはいつも罰だけだ。,The purpose of a prison sentence isn't to give pleasure to the prisoners. They need to be taught a lesson; that's why they're always receiving nothing but punishment here.
しかしわたしの糸で縛りつけなんどもムチで叩き、\nそのあとブーツで踏んでやると、男どもは勝手に発情してしまう❤\n見下ろされて嬲られるのを喜ぶマゾばかりだ。,But when I bind them; whip them; and step on them with my boots; they get horny all on their own.❤ They're all masochists that get off to being looked down on and tortured.
一度自分がマゾだと自覚すると、\n屈強な盗賊の頭でさえ犯罪から足を洗うから面白い。\n社会に歯向かう牙を抜かれ従順になるのだろうな。,It's interesting how once they realize they're masochists; even the strongest bandit leaders will give up their life of crime. I guess they become obedient and lose their will to resist society's rules.
もちろん出所後に仕事をあっせんするなど制度ありきだがな。\nだがいくら職を与えても反骨心があるうちはすぐに罪に走るものだ。\n男として「更生」することは再犯率を下げるうえで重要なようだな。,There's a system in place; like job offers for released criminals. No matter how many jobs you give them though; as long as they're still rebellious; they'll soon turn back to a life of crime. My "rehabilitation" methods are necessary to reduce the number of reoffenders.
快楽を与えた囚人がまた戻ってこないのかだと？\nふふ、わたしに鞭を入れてほしくて来る男はたまにいるな。,You mean to tell me that the prisoners you give pleasure to don't come back again? Hmmm...sometimes men come to me because they want me to whip them.
だがそういう下心のある人間にはわたしは一切ムチも糸もやらん。\nただ生殺しにされて、\nムラムラとした欲求に牢屋の中で苦しめられるだけだ。,But I don't whip or bind those with ulterior motives. They'll get eaten alive and tormented in prison for their lust.
何か月も生殺しにされていた男は、\n出るときにもう二度と牢屋には入りたくないと言っていたな。\n単なる辛さよりよほどこたえるらしい。ククク❤,I remember a guy who was kept in the prison for months and when he got out he said he'd never go back. I hear that more happens in there than just hardship. Kukuk.❤
こんにちは。無敗のルーキーさん。\nいまヤツメさんは休憩時間中です。,Hello; undefeated rookie. Warden Yatsume is currently on a break.. 
わたしはまだ補助の仕事ですが、\n休憩中の見張りぐらいはつとまります。, I'm still working as an assistant; but I'm allowed to keep watch during her breaks.
ヤツメさんにあなたのことは聞いています。\n面会もご自由にどうぞ。,I heard about you from Warden Yatsume. Please feel free to talk to me.
うう、ここから出してよぉ～。おなかすいたよ～。,Ugh; let me outta here! I'm hungry~
あっ！キミはわたしを倒した男の子じゃん！\nもー、キミのせいだよ。\nこんなじめじめしたところに閉じ込められてさぁ。, Damn! I'm trapped in this awful place.
エナジーも全然吸えないし、わたし死んじゃいそうだよ～。\nわぁーん。, I can't get any energy to absorb and I feel like I'm gonna die...Ugh...
ねぇー、あなたってやさしい正義のカードマスターなんだよね？\nだったら、おねがーい❤\nわたしにちょっとだけエナジーをわけてほしいなぁ～❤, Hey; you're that kind and just card master; right?
かわいそうな女の子を助けると思ってさ。ほら、チラ❤, How about you help a poor girl out...Here; a sneak peak.❤
（うっ・・・❤）, (Wow...❤)
これオカズにしていいからさぁ❤\nねえ我慢汁だけでもいいの。おちんちんシコシコして、\nわたしに少しだけエナジーちょうだぁい❤, You can use this to make yourself cum.❤ Come on; even just some precum would be enough. Please jerk off and gimme a little energy.❤
・・・。なに？\nわたしのこと笑いに来たの？\nおなかすいててもなにもくれない、きみのことなんて知らなーい。, What? Did you come here just to laugh at me? I know we don't really know each other; but you won't give me anything even though I'm starving.
わたしと戦ったときも、\n気持ちいいのを我慢できちゃうぐらいまじめだもんねー。\nこんな胸チラぐらいじゃ、どうにもならないもんなー。, Even when you fought me; you looked so serious and still couldn't help but feel good. You can't resist even just a glimpse of my cleavage.
ほら、見る？どうせ効かないだろうけど。\nチラ❤, Hey; do you wanna see it? A sneak peak.❤
その目を見る限り、興味ないわけじゃなさそうだけどなー❤\n服をぴらぴらってして谷間を出したり戻したりしたら、\n視線がちらちら動いてるし。くすくす❤, Judging by the look in your eyes; it seems like you're interested.❤ Your gaze snaps straight to my cleavage when I tug my clothes down a little. Heheh.❤
優しい正義のマスターさぁん❤\nおねがーい❤かわいそうな女の子を助けてぇ❤\nあーん❤, Oh kind and just master...❤ Please...❤ Please help a poor girl...❤ Aaah...❤
谷間に見とれてしまった, I was fascinated by her cleavage
彼女のいる牢屋から離れた, I left her cell; even having stared at her cleavage
あ、ちょっと待ってよ。\nむぅ・・・。行っちゃった。, Hey; wait a minute! Damn; he's gone...
（うう・・・❤こんなところで、だめなのに・・・❤）, (Ugh...❤ I shouldn't be doing something like this here...❤)
（ああ、目が離せない・・・❤）,(Ah; I can't take my eyes off her...❤)
（くす❤おちんちんに手が伸び始めた❤ちょっろーい❤）, (Hahah!❤ Your hand started to reach for your penis.❤ Just jerk off a little bit...❤)
おい、なにをやっている。, Hey; what's going on over there?
・・・・！,
牢屋に密着するほど近づいて\nいささか不審だったぞ。無敗のルーキー。, You looked suspicious hanging around so close to that cell; undefeated rookie.
お前ほどの強者が、いまさら下級サキュバスにたぶらかされるとは思わんが、\n相手は魔族だ。油断しないように気を引き締めろ。, I don't think someone as strong as you would get seduced by a lower-class succubus now; but you should never let your guard down around them; no matter what class they are.
ヤツメさんは僕に注意すると、この場を離れて行った。, Warden Yatsume gave me that warning and then left.
ちぇ・・・。余計な邪魔が入っちゃった。\nやっぱりあいつがいるときは無理っぽいなぁー。, Damn; she got in my way... I guess it'll be impossible while she's around...
ねえ、また来てよ。\nあのヤツメってマスター、たまに休憩に入るからさ、\n今度はあいつがいないときに来て。, Hey; come back again later. That girl takes a break every once in a while; so next time come when she's not around.
そうしてくれたら・・・。チラ❤, If you do that...I'll give you another sneak peak.❤
ここをオカズにしてシコシコさせてあげる❤\nわたしにエナジーめぐんでね❤\nやさしいカードマスターくん❤, I'll turn you on and make you jerk off.❤  Just gimme your energy...❤ Kind card master.❤ 
くす❤早く気持ちよくなりたくて戻ってきちゃったのかな❤\nここに戻ってきても、今はおちんちんシコシコできないよ❤, Wow.❤ I guess you came back so quickly cause you wanted to feel good right away.❤ It doesn't matter though; you can't jerk off right now.❤
あの邪魔な看守がいなくなるまでおあずけ❤\nその間、いっぱい精液ぐつぐつさせて、\nおいしいエナジーをつくっておいてねー❤, Just come back when that annoying warden is gone.❤ Then I'll make you cum a lot and absorb your delicious energy.❤
