default
エルル, Elle
タイガ, Taiga
プラント, Plant
ムニン, Munin
フレア, Flare
受付さん,Receptionist
シスター, Sister
ギルド地下通路, Guild Underground Passage
Place/MorugenUnderground,
情報収集,Investigate
デッキ編集,Deck Edit
タイトルに戻る,Back to Title
特殊オプション,Special Options
ロード,Load
セーブ,Save
回想,Reminisce
作戦会議, Strategy Meeting
図鑑, Illustrations
(特殊)２周目プレイ,(Special) New Game Plus
(特殊)街に戻った状態にする,(Special) Return to Town
少し歩いて頭もはっきりしたし、受付さんに今の状況について聞くことにしよう。,Now that I've walked a bit and cleared my head; it's time to ask the receptionist about the current situation.
分かりました。状況を説明しますね。\nん・・・？,Alright; I'll explain the situation. Hmm...?
あいたた・・・。あれ、わたし・・・。,Oh; my God... Oh; I...
・・・・！,
エルルさん。目を覚ましたんですね！\nよかった…。,Ms. Elle; you're awake! Thank God...
体は大丈夫ですか？どこかおかしいところなどはありませんか？,How do you feel? Is there anything wrong with your body?
ありがと、うん…。大丈夫みたい。\nかなり体がだるいけれど、魔力を使い果たしたって感じのだるさよ。\n体に変な感じはしないわ。,Thanks; yeah...I'm pretty tired and I feel as though I've used up all my magical energy; but otherwise I feel fine. I don't feel anything strange going on with my body either.
はぁ・・・・。まだ現実感がないけど、\nわたしサキュバスになってたのよね。,Huh...I was a succubus; but it doesn't even feel like it was real yet.
人間に戻れて、本当によかった…。\n{主人公}、あなたのおかげよ。ありがとう…。,I'm so glad to be human again... \n Thank you; {主人公}; thank you; thank you...
・・・・♪,
エルルさんはほっとしたような顔で、そう言った。僕もエルルさんが無事なようで一安心だ。,Elle profusely thanked me with a look of great relief. I too found myself relieved to see Elle safe.
僕らがエルルさんの回復を喜んでいると、向こうの方で足音が聞こえてきた。,As we were rejoicing over Elle's recovery; we heard footsteps on the other side of the room.
おーい、戻ったよ。\nやっぱりこっちの道もダメみたい。\n結界でふさがれてた。,Hey, I'm back. I guess this way is no good after all. It was blocked by wards.
やはりそうでしたか…。,I knew it....
・・・・？,
いま目覚めたばかりの、{主人公}さんとエルルさんにも\n状況を説明しますね。,I will explain the situation to {主人公r} and Elle now that she's woken up.
